geometry,label_id,label_name,label,collection_date,created_at,end_date,id,start_date,updated_at,user_email,user_name,longitude,latitude,timeline,timeseries,pheno_metrics
POINT (-53.411665 -33.645385),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,12,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.411665,-33.645385,,"['4765.', '8624.', '9385.', '9414.', '4895.', '8713.', '6050.', -9999, '3149.', '7374.', '8763.', -9999, '9131.', '8712.', '7807.', '7069.', '6683.', '4740.', '4227.', -9999, '3816.', '3212.', -9999, '8295.650390625', ' 120.61457824707031', ' 13.290178298950195', -9999, -9999, -9999, -9999, ' 3924.33349609375', ' 5249.0', ' 256.0', ' 5281.33349609375', ' 1', ' 9141.0', ' 33', ' 5216.66650390625', ' 273', ' 6164.0', ' 257']","['8295.650390625', ' 120.61457824707031', ' 13.290178298950195', ' nan', ' nan', ' nan', ' nan', ' 3924.33349609375', ' 5249.0', ' 256.0', ' 5281.33349609375', ' 1', ' 9141.0', ' 33', ' 5216.66650390625', ' 273', ' 6164.0', ' 257']"
POINT (-53.410764 -33.649636),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,13,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.410764,-33.649636,,"['5199.', '8195.', '9341.', '9354.', '9065.', '9113.', '7509.', -9999, '4303.', '6948.', '8609.', -9999, '9101.', '8752.', '7963.', '7371.', '7076.', '5043.', '4503.', -9999, '3912.', '3175.', -9999, '8557.25', ' 78.04165649414062', ' 13.253204345703125', -9999, -9999, -9999, -9999, ' 3745.99951171875', ' 5524.0', ' 256.0', ' 5507.33349609375', ' 1', ' 9253.3330078125', ' 49', ' 5507.33349609375', ' 1', ' 6496.66650390625', ' 257']","['8557.25', ' 78.04165649414062', ' 13.253204345703125', ' nan', ' nan', ' nan', ' nan', ' 3745.99951171875', ' 5524.0', ' 256.0', ' 5507.33349609375', ' 1', ' 9253.3330078125', ' 49', ' 5507.33349609375', ' 1', ' 6496.66650390625', ' 257']"
POINT (-53.408833 -33.645992),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,14,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.408833,-33.645992,,"['4597.', '7636.', '8529.', '8701.', '8249.', '8503.', '6083.', -9999, '2683.', '5900.', '7180.', '3209.', '8351.', '8073.', '6915.', '6517.', '6364.', '3867.', '3397.', -9999, '3259.', '2450.', -9999, '7904.0888671875', ' 73.71527862548828', ' 13.991988182067871', -9999, -9999, -9999, -9999, ' 3950.33349609375', ' 4748.66650390625', ' 256.0', ' 4954.66650390625', ' 1', ' 8493.0', ' 49', ' 4542.66650390625', ' 273', ' 5582.66650390625', ' 257']","['7904.0888671875', ' 73.71527862548828', ' 13.991988182067871', ' nan', ' nan', ' nan', ' nan', ' 3950.33349609375', ' 4748.66650390625', ' 256.0', ' 4954.66650390625', ' 1', ' 8493.0', ' 49', ' 4542.66650390625', ' 273', ' 5582.66650390625', ' 257']"
POINT (-53.418531 -33.647957),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,15,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.418531,-33.647957,,"['3624.', '7376.', '9248.', '9523.', '9081.', '9279.', '7458.', -9999, '3455.', '6232.', '8169.', '7127.', '9054.', '8488.', '7889.', '7170.', '6699.', '4496.', '4037.', -9999, '3845.', '3374.', -9999, '8762.833984375', ' 83.703125', ' 16.52430534362793', -9999, -9999, -9999, -9999, ' 5357.0', ' 4507.33349609375', ' 256.0', ' 3937.333251953125', ' 1', ' 9294.3330078125', ' 65', ' 3937.333251953125', ' 1', ' 6121.66650390625', ' 257']","['8762.833984375', ' 83.703125', ' 16.52430534362793', ' nan', ' nan', ' nan', ' nan', ' 5357.0', ' 4507.33349609375', ' 256.0', ' 3937.333251953125', ' 1', ' 9294.3330078125', ' 65', ' 3937.333251953125', ' 1', ' 6121.66650390625', ' 257']"
POINT (-53.422608 -33.645028),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,16,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.422608,-33.645028,,"['4526.', '8301.', '9327.', '9662.', '9093.', '9208.', '7746.', -9999, '3161.', '6671.', '8249.', -9999, '9195.', '8542.', '7599.', '6755.', '6368.', '4691.', '4285.', -9999, '3975.', '3196.', -9999, '8958.466796875', ' 91.17709350585938', ' 16.455129623413086', -9999, -9999, -9999, -9999, ' 4376.50048828125', ' 5049.41650390625', ' 256.0', ' 4984.16650390625', ' 1', ' 9360.6669921875', ' 49', ' 4984.16650390625', ' 1', ' 5938.0', ' 257']","['8958.466796875', ' 91.17709350585938', ' 16.455129623413086', ' nan', ' nan', ' nan', ' nan', ' 4376.50048828125', ' 5049.41650390625', ' 256.0', ' 4984.16650390625', ' 1', ' 9360.6669921875', ' 49', ' 4984.16650390625', ' 1', ' 5938.0', ' 257']"
POINT (-53.424625 -33.647957),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,17,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.424625,-33.647957,,"['3452.', '4802.', '5542.', '6280.', '5355.', '7246.', '6685.', -9999, '5173.', '5702.', '6597.', '6514.', '6507.', '6397.', '5590.', '5166.', '5022.', '4906.', '4563.', -9999, '5045.', '4049.', -9999, '6059.9140625', ' 12.129168510437012', ' 18.850000381469727', -9999, -9999, -9999, -9999, ' 2985.666748046875', ' 4192.0', ' 240.0', ' 4598.66650390625', ' 17', ' 6539.33349609375', ' 177', ' 3553.666748046875', ' 1', ' 5031.33349609375', ' 257']","['6059.9140625', ' 12.129168510437012', ' 18.850000381469727', ' nan', ' nan', ' nan', ' nan', ' 2985.666748046875', ' 4192.0', ' 240.0', ' 4598.66650390625', ' 17', ' 6539.33349609375', ' 177', ' 3553.666748046875', ' 1', ' 5031.33349609375', ' 257']"
POINT (-53.400593 -33.670783),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,18,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.400593,-33.670783,,"['7439.', '8557.', '8211.', '6819.', -9999, '2938.', '3240.', -9999, '3655.', '3906.', '3818.', '4346.', '4264.', '4829.', '3807.', '3962.', -9999, '2565.', '2408.', -9999, '2878.', '3131.', -9999, '7920.83349609375', ' 24.125', ' 19.63020896911621', -9999, -9999, -9999, -9999, ' 4276.0', ' 5738.0', ' 208.0', ' 7683.0', ' 1', ' 8069.0', ' 17', ' 3793.0', ' 145', ' 4300.0', ' 209']","['7920.83349609375', ' 24.125', ' 19.63020896911621', ' nan', ' nan', ' nan', ' nan', ' 4276.0', ' 5738.0', ' 208.0', ' 7683.0', ' 1', ' 8069.0', ' 17', ' 3793.0', ' 145', ' 4300.0', ' 209']"
POINT (-53.402395 -33.669711),370,soja,Soja,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,19,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.402395,-33.669711,,"['7481.', '8177.', '8567.', '7332.', '6353.', '3998.', '4254.', -9999, '4265.', '4479.', '3915.', '3974.', '3482.', '4309.', '4057.', '3723.', '3457.', '3853.', '3346.', -9999, '4127.', '4290.', -9999, '7821.361328125', ' 33.9375', ' 27.446760177612305', -9999, -9999, -9999, -9999, ' 4523.0', ' 5542.0', ' 160.0', ' 7532.0', ' 1', ' 8075.0', ' 17', ' 3552.0', ' 273', ' 4122.66650390625', ' 161']","['7821.361328125', ' 33.9375', ' 27.446760177612305', ' nan', ' nan', ' nan', ' nan', ' 4523.0', ' 5542.0', ' 160.0', ' 7532.0', ' 1', ' 8075.0', ' 17', ' 3552.0', ' 273', ' 4122.66650390625', ' 161']"
POINT (-53.449259 -33.572079),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,20,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.449259,-33.572079,,"['8286.', '8544.', '9282.', '9543.', '8628.', '8919.', '5710.', -9999, '3732.', '6214.', '7445.', -9999, '8495.', '8213.', '7583.', '5616.', '4599.', '2640.', '2429.', -9999, '3755.', '6781.', '8276.', '8654.150390625', ' 19.6875', ' 23.394229888916016', -9999, -9999, -9999, -9999, ' 5928.3330078125', ' 5714.33349609375', ' 256.0', ' 8206.0', ' 1', ' 9151.0', ' 49', ' 3222.666748046875', ' 273', ' 4285.0', ' 257']","['8654.150390625', ' 19.6875', ' 23.394229888916016', ' nan', ' nan', ' nan', ' nan', ' 5928.3330078125', ' 5714.33349609375', ' 256.0', ' 8206.0', ' 1', ' 9151.0', ' 49', ' 3222.666748046875', ' 273', ' 4285.0', ' 257']"
POINT (-53.437114 -33.578015),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,21,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.437114,-33.578015,,"['6366.', '7540.', '7770.', '8410.', '4965.', '6946.', '3297.', -9999, '3865.', '5857.', '6596.', -9999, '7099.', '6889.', '6303.', '4200.', -9999, '2368.', '2191.', -9999, '2435.', -9999, '6166.', '7170.763671875', ' 43.229156494140625', ' 35.40625', ' 32215.66796875', ' 9403.66796875', -9999, -9999, ' 2837.3330078125', ' 5796.33349609375', ' 64.0', ' 6523.33349609375', ' 1', ' 7906.66650390625', ' 33', ' 5069.33349609375', ' 81', ' 6773.66650390625', ' 65']","['7170.763671875', ' 43.229156494140625', ' 35.40625', ' 32215.66796875', ' 9403.66796875', ' nan', ' nan', ' 2837.3330078125', ' 5796.33349609375', ' 64.0', ' 6523.33349609375', ' 1', ' 7906.66650390625', ' 33', ' 5069.33349609375', ' 81', ' 6773.66650390625', ' 65']"
POINT (-53.441019 -33.58706),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,22,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.441019,-33.58706,,"['8313.', '9099.', '8779.', '8059.', '1241.', '3234.', '3541.', -9999, '3321.', -9999, '2811.', -9999, '3383.', '3665.', '3518.', '3537.', -9999, '2627.', '2433.', -9999, '4159.', '3507.', '8056.', '8401.111328125', ' 14.5625', ' 94.84027099609375', ' 31829.0', ' 19805.0', -9999, -9999, ' 6058.3330078125', ' 5584.66650390625', ' 64.0', ' 8497.3330078125', ' 1', ' 8730.3330078125', ' 17', ' 2672.0', ' 81', ' 4178.0', ' 65']","['8401.111328125', ' 14.5625', ' 94.84027099609375', ' 31829.0', ' 19805.0', ' nan', ' nan', ' 6058.3330078125', ' 5584.66650390625', ' 64.0', ' 8497.3330078125', ' 1', ' 8730.3330078125', ' 17', ' 2672.0', ' 81', ' 4178.0', ' 65']"
POINT (-53.442307 -33.590456),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,23,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.442307,-33.590456,,"['5500.', '6751.', '7620.', '7431.', '6134.', '7963.', '6914.', -9999, '6563.', '5904.', '6695.', -9999, '6814.', -9999, '6784.', '6799.', '6805.', '5473.', '2966.', -9999, '3549.', '4287.', '5977.', '6839.5830078125', ' 53.239593505859375', ' 4.055060386657715', -9999, -9999, -9999, -9999, ' 2663.0', ' 5084.0', ' 256.0', ' 5563.66650390625', ' 1', ' 7267.33349609375', ' 33', ' 4604.33349609375', ' 337', ' 6359.0', ' 257']","['6839.5830078125', ' 53.239593505859375', ' 4.055060386657715', ' nan', ' nan', ' nan', ' nan', ' 2663.0', ' 5084.0', ' 256.0', ' 5563.66650390625', ' 1', ' 7267.33349609375', ' 33', ' 4604.33349609375', ' 337', ' 6359.0', ' 257']"
POINT (-53.44604 -33.593495),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,24,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.44604,-33.593495,,"['7100.', '8002.', '8357.', '8071.', '6192.', '2710.', '3335.', '2798.', '2991.', '2780.', '2711.', -9999, '3652.', '3674.', '3630.', '3629.', '2596.', '2598.', '2477.', -9999, '3633.', -9999, '2935.', '7779.861328125', ' 29.755218505859375', ' 23.43229103088379', -9999, -9999, -9999, -9999, ' 5586.33349609375', ' 4874.0830078125', ' 224.0', ' 7191.16650390625', ' 1', ' 8143.33349609375', ' 33', ' 2557.0', ' 273', ' 3644.333251953125', ' 225']","['7779.861328125', ' 29.755218505859375', ' 23.43229103088379', ' nan', ' nan', ' nan', ' nan', ' 5586.33349609375', ' 4874.0830078125', ' 224.0', ' 7191.16650390625', ' 1', ' 8143.33349609375', ' 33', ' 2557.0', ' 273', ' 3644.333251953125', ' 225']"
POINT (-53.449302 -33.580875),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,25,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.449302,-33.580875,,"['5211.', '8456.', '8738.', '8500.', '8036.', '7732.', '5695.', '3054.', '3001.', '2976.', '2630.', -9999, '2830.', '3165.', '3588.', '3421.', -9999, '3019.', '2704.', -9999, '3283.', '2624.', -9999, '8037.375', ' 89.36979675292969', ' 58.099998474121094', ' 51964.0859375', ' 30446.5859375', -9999, -9999, ' 5695.6669921875', ' 4286.9169921875', ' 112.0', ' 5704.83349609375', ' 1', ' 8564.6669921875', ' 33', ' 2869.0', ' 145', ' 3916.666748046875', ' 113']","['8037.375', ' 89.36979675292969', ' 58.099998474121094', ' 51964.0859375', ' 30446.5859375', ' nan', ' nan', ' 5695.6669921875', ' 4286.9169921875', ' 112.0', ' 5704.83349609375', ' 1', ' 8564.6669921875', ' 33', ' 2869.0', ' 145', ' 3916.666748046875', ' 113']"
POINT (-53.457026 -33.575834),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,26,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.457026,-33.575834,,"['7181.', '7997.', '8583.', '8301.', '5986.', '6241.', '4488.', '2861.', '2720.', '3098.', '2817.', -9999, '3263.', '3605.', '4384.', '3923.', -9999, '3333.', '2644.', -9999, '3562.', '3782.', -9999, '7698.8330078125', ' 33.57292175292969', ' 58.80729675292969', ' 44391.3359375', ' 25682.169921875', -9999, -9999, ' 5415.333984375', ' 5048.83349609375', ' 96.0', ' 7219.33349609375', ' 1', ' 8293.6669921875', ' 33', ' 2878.333251953125', ' 145', ' 4530.0', ' 97']","['7698.8330078125', ' 33.57292175292969', ' 58.80729675292969', ' 44391.3359375', ' 25682.169921875', ' nan', ' nan', ' 5415.333984375', ' 5048.83349609375', ' 96.0', ' 7219.33349609375', ' 1', ' 8293.6669921875', ' 33', ' 2878.333251953125', ' 145', ' 4530.0', ' 97']"
POINT (-53.461275 -33.571758),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,27,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.461275,-33.571758,,"['4601.', '8624.', '8770.', '9115.', '7768.', '6864.', '5920.', '2561.', '2598.', '3188.', '2950.', '2770.', '2774.', '3057.', '4239.', '2697.', -9999, '-5171.', -9999, -9999, -9999, -9999, '5596.', '8259.166015625', ' 112.16145324707031', ' 64.29166412353516', ' 50916.9140625', ' 30049.4140625', -9999, -9999, ' 6054.0', ' 4014.75', ' 112.0', ' 5247.16650390625', ' 1', ' 8836.3330078125', ' 33', ' 2782.333251953125', ' 129', ' 3693.0', ' 113']","['8259.166015625', ' 112.16145324707031', ' 64.29166412353516', ' 50916.9140625', ' 30049.4140625', ' nan', ' nan', ' 6054.0', ' 4014.75', ' 112.0', ' 5247.16650390625', ' 1', ' 8836.3330078125', ' 33', ' 2782.333251953125', ' 129', ' 3693.0', ' 113']"
POINT (-53.456683 -33.584593),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,28,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.456683,-33.584593,,"['8669.', '9069.', '9259.', '9238.', '8474.', '8732.', '6527.', '5123.', '3601.', '5120.', '6125.', -9999, '7083.', '6988.', '6100.', '5170.', '4539.', '2967.', '2562.', -9999, '4244.', '5323.', -9999, '8845.0283203125', ' 15.145843505859375', ' 47.64583969116211', ' 64748.0', ' 36222.0', -9999, -9999, ' 5832.6669921875', ' 6030.0', ' 128.0', ' 8704.0', ' 1', ' 9188.6669921875', ' 33', ' 3356.0', ' 273', ' 4614.66650390625', ' 129']","['8845.0283203125', ' 15.145843505859375', ' 47.64583969116211', ' 64748.0', ' 36222.0', ' nan', ' nan', ' 5832.6669921875', ' 6030.0', ' 128.0', ' 8704.0', ' 1', ' 9188.6669921875', ' 33', ' 3356.0', ' 273', ' 4614.66650390625', ' 129']"
POINT (-53.464236 -33.58109),372,arroz,Arroz,2024-05-16T00:00:00Z,16-05-2024,31-12-2023,29,01-01-2023,16-05-2024,gabrielsansigolo@gmail.com,gabriel,-53.464236,-33.58109,,"['6106.', '7155.', '8485.', '9095.', '8922.', '8992.', '7425.', '6628.', '4713.', '5743.', '6904.', '6191.', '6262.', '5883.', '5494.', '4350.', '3652.', '2758.', '2006.', -9999, '1865.', '3084.', '6952.', '8354.83203125', ' 45.997398376464844', ' 25.592803955078125', ' 104689.25', ' 61206.5859375', -9999, -9999, ' 6197.6669921875', ' 4432.25', ' 240.0', ' 6059.16650390625', ' 1', ' 9003.0', ' 65', ' 2805.333251953125', ' 273', ' 4498.66650390625', ' 241']","['8354.83203125', ' 45.997398376464844', ' 25.592803955078125', ' 104689.25', ' 61206.5859375', ' nan', ' nan', ' 6197.6669921875', ' 4432.25', ' 240.0', ' 6059.16650390625', ' 1', ' 9003.0', ' 65', ' 2805.333251953125', ' 273', ' 4498.66650390625', ' 241']"
